"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer","ARCHS4","GTEx","TabulaSapiens","n","Transcript","CellAge","SenMayo","AgedTissue","DiseaseTissue"
"FBN1","FBN, MASS, MFS1, OCTD, SGS, WMS","ENSG00000166147","Fibrillin 1","P35555","15","48408313-48645721","Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins","","Heparin-binding, Hormone","Aortic aneurysm, Disease variant, Dwarfism","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"adipose tissue: 60.9;placenta: 76.7","Cell type enhanced","Detected in many",NA,"Cytotrophoblasts: 128.7;Fibroblasts: 429.8;Inhibitory neurons: 120.7;Leydig cells: 240.1;Oligodendrocytes: 206.4;Peritubular cells: 231.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Brain cancer: 81.0;thyroid cancer: 77.9","Adipose subcutaneous - Adipose progenitor cells, Colon - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","CAB002670, HPA017759, HPA021057, CAB058696, CAB068188","Enhanced","","Approved","Golgi apparatus,Plasma membrane","Secreted to blood",NA,NA,NA,5.2e+08,"","Cluster 82: Adipose tissue - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 65: Fibroblasts - ECM organization","Golgi apparatus","Plasma membrane","CAB002670: , CAB058696: AB_2665596, CAB068188: AB_2665597, HPA017759: AB_1848584, HPA021057: AB_1848586","unprognostic (3.97e-2)","unprognostic (1.55e-2)","unprognostic (2.40e-2)","unprognostic (9.50e-2)","unprognostic (1.51e-1)","unprognostic (9.49e-2)","unprognostic (2.00e-2)","unprognostic (4.79e-2)","unprognostic (7.82e-2)","unprognostic (1.50e-2)","unprognostic (2.78e-2)","unprognostic (1.14e-1)","prognostic unfavorable (7.44e-5)","prognostic unfavorable (6.57e-4)","unprognostic (1.25e-2)","unprognostic (8.69e-3)","prognostic unfavorable (5.11e-4)",5,0,12,17,"ENST00000537463",0,0,NA,"Idiopathic.Pulmonary.Fibrosis"
"FBN2","CCA, DA9","ENSG00000138829","Fibrillin 2","P35556","5","128257909-128659185","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","Cancer-related genes, Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in some",11,"placenta: 81.9","Group enriched","Detected in many",4,"Cytotrophoblasts: 295.8;Syncytiotrophoblasts: 156.5","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in some",NA,"","Immune cell enhanced","Detected in single",NA,"non-classical monocyte: 2.2","Lineage enriched","Detected in single",5,"monocytes: 2.2","Cancer enhanced","Detected in many",NA,"Sarcoma: 51.2;testis cancer: 48.0","Testis - Early spermatids","Region enhanced","Detected in single",NA,"olfactory bulb: 2.0","Low region specificity","Detected in many",NA,"","HPA012853, CAB026401","Enhanced","","","","Secreted to extracellular matrix",NA,NA,NA,1.1e+07,"Cluster 14: Monocytes - Unknown function","Cluster 28: Placenta - Pregnancy","Cluster 34: Rabdoid cancer - Embryonic development","Cluster 28: Cytotrophoblasts - Unknown function","","","CAB026401: , HPA012853: AB_1848588","unprognostic (2.49e-1)","unprognostic (1.14e-1)","unprognostic (7.29e-3)","unprognostic (1.79e-3)","unprognostic (6.74e-2)","unprognostic (2.33e-1)","unprognostic (4.92e-3)","unprognostic (9.41e-2)","unprognostic (1.06e-2)","unprognostic (4.66e-1)","unprognostic (1.12e-1)","unprognostic (8.69e-2)","unprognostic (8.60e-5)","unprognostic (1.04e-2)","unprognostic (3.19e-2)","unprognostic (1.00e-1)","prognostic unfavorable (7.41e-5)",4,10,11,25,NA,0,0,"Thyroid",NA
"FGF5","","ENSG00000138675","Fibroblast growth factor 5","P12034","4","80266599-80336680","Disease related genes, Human disease related genes, Predicted secreted proteins, RAS pathway related proteins","","Growth factor, Mitogen","Disease variant, Proto-oncogene","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in some",5,"brain: 11.7;gallbladder: 3.4","Cell type enhanced","Detected in some",NA,"Excitatory neurons: 9.3;Exocrine glandular cells: 4.3;Melanocytes: 1.7;Microglial cells: 1.8;Proximal tubular cells: 3.9","Not detected","Not detected",NA,"","Region enhanced","Detected in many",NA,"cerebellum: 11.7","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"thyroid cancer: 22.5","Kidney - Proximal tubular cells","Low region specificity","Detected in some",NA,"","Not detected","Not detected",NA,"","","","","","","Secreted in brain",NA,NA,NA,NA,"","Cluster 69: Cerebellum - Gene expression regulation","Cluster 20: Connective tissue cells - ECM organization","Cluster 38: Neurons - Neuronal signaling","","","","unprognostic (6.44e-2)","unprognostic (6.24e-3)","unprognostic (8.49e-4)","unprognostic (1.10e-1)","unprognostic (2.91e-1)","unprognostic (2.80e-3)","","unprognostic (6.87e-4)","unprognostic (2.53e-1)","unprognostic (1.69e-1)","unprognostic (3.57e-3)","unprognostic (1.17e-2)","unprognostic (3.33e-16)","unprognostic (3.02e-3)","unprognostic (3.14e-1)","","unprognostic (2.83e-2)",11,12,12,35,"ENST00000312465; ENST00000456523; ENST00000503413",0,0,"Nerve",NA
"FN1","CIG, FINC, GFND2, LETS, MSF","ENSG00000115414","Fibronectin 1","P02751","2","215360440-215436073","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Acute phase, Angiogenesis, Cell adhesion, Cell shape","Heparin-binding","Cancer-related genes, Disease variant, Dwarfism, FDA approved drug targets","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"liver: 1725.9;placenta: 2928.1","Cell type enhanced","Detected in many",NA,"Extravillous trophoblasts: 3183.4;Fibroblasts: 713.4;Hepatocytes: 809.9;Pancreatic endocrine cells: 523.8;Smooth muscle cells: 552.4","Cancer enhanced","Detected in all",NA,"thyroid cancer: 833.9","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in all",NA,"testis cancer: 4649.5;thyroid cancer: 4327.2","Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Colon - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","CAB000126, HPA027066","Enhanced","","","","Secreted to blood",NA,NA,2.27e+14,4.7e+10,"","Cluster 86: Liver & Placenta - Transport via ER","Cluster 20: Connective tissue cells - ECM organization","Cluster 15: Smooth muscle cells - Muscle contraction","","","CAB000126: , HPA027066: AB_10602500","unprognostic (8.08e-2)","unprognostic (1.09e-3)","unprognostic (2.20e-2)","unprognostic (3.45e-3)","unprognostic (1.82e-2)","unprognostic (3.47e-3)","unprognostic (3.36e-2)","unprognostic (5.91e-3)","unprognostic (2.96e-2)","unprognostic (2.91e-3)","unprognostic (1.41e-2)","unprognostic (2.84e-1)","prognostic unfavorable (3.44e-8)","prognostic unfavorable (8.82e-5)","unprognostic (7.88e-2)","unprognostic (7.74e-2)","prognostic unfavorable (3.33e-4)",5,0,12,17,"ENST00000354785; ENST00000356005; ENST00000426059; ENST00000432072; ENST00000443816; ENST00000446046",1,0,NA,NA
"FST","FS","ENSG00000134363","Follistatin","P19883","5","53480626-53487134","Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","Cancer-related genes","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"liver: 68.7","Group enriched","Detected in many",6,"Granulosa cells: 676.3;Skeletal myocytes: 213.8","Cancer enhanced","Detected in all",NA,"liver cancer: 45.1","Low region specificity","Detected in many",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Gallbladder cancer: 403.5","Heart muscle - Fibroblasts, Kidney - Fibroblasts","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in single",NA,"","HPA016612, CAB026025","Approved","","Approved","Vesicles","Secreted to blood",NA,NA,NA,1800000,"Cluster 32: T-cells - Unknown function","Cluster 85: Liver - Metabolism","Cluster 20: Connective tissue cells - ECM organization","Cluster 17: Granulosa cells - Transcription regulation","Vesicles","","CAB026025: , HPA016612: ","unprognostic (1.43e-1)","unprognostic (6.50e-2)","unprognostic (1.44e-1)","unprognostic (7.73e-3)","unprognostic (2.30e-1)","unprognostic (1.50e-3)","unprognostic (8.02e-2)","unprognostic (2.32e-2)","unprognostic (3.06e-1)","unprognostic (1.57e-1)","unprognostic (1.93e-1)","unprognostic (1.94e-1)","prognostic unfavorable (4.44e-5)","unprognostic (1.21e-3)","unprognostic (2.48e-1)","unprognostic (2.07e-2)","unprognostic (2.18e-1)",5,0,7,12,NA,0,0,"Blood.Vessel; Lung; Muscle",NA
"GDF6","BMP13, KFS, KFS1, SGM1","ENSG00000156466","Growth differentiation factor 6","Q6KF10","8","96142333-96160806","Disease related genes, Human disease related genes, Predicted secreted proteins","Apoptosis","Cytokine, Developmental protein, Growth factor","Deafness, Disease variant, Dwarfism, Leber congenital amaurosis, Microphthalmia, Non-syndromic deafness","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in some",NA,"placenta: 10.9","Cell type enhanced","Detected in some",NA,"Basal prostatic cells: 1.5;Cardiomyocytes: 2.4;Distal tubular cells: 3.1;Excitatory neurons: 1.6;Fibroblasts: 2.2;Oligodendrocyte precursor cells: 6.7;Pancreatic endocrine cells: 1.7;Spermatogonia: 2.2;Thymic epithelial cells: 2.8","Cancer enhanced","Detected in some",NA,"renal cancer: 2.8;thyroid cancer: 2.3","Low region specificity","Detected in single",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in some",NA,"Bone cancer: 32.6;testis cancer: 15.9","Breast - Fibroblasts, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Thyroid - Fibroblasts","Not detected","Not detected",NA,"","Region enriched","Detected in single",5,"midbrain: 1.2","HPA045206","Uncertain","","Supported","Nucleoplasm,Nuclear membrane,Vesicles","Secreted to blood",NA,NA,NA,NA,"","Cluster 28: Placenta - Pregnancy","Cluster 14: Bone cancer - Transcription","Cluster 53: Connective tissue cells - ECM organization","Vesicles","Nucleoplasm, Nuclear membrane","HPA045206: AB_10962508","unprognostic (1.13e-1)","unprognostic (1.60e-1)","unprognostic (1.83e-2)","unprognostic (9.66e-9)","unprognostic (6.49e-2)","unprognostic (1.47e-1)","unprognostic (1.41e-1)","unprognostic (3.18e-2)","unprognostic (3.80e-3)","unprognostic (1.09e-3)","unprognostic (5.37e-2)","unprognostic (8.13e-3)","prognostic unfavorable (2.17e-4)","unprognostic (5.88e-4)","unprognostic (1.88e-2)","unprognostic (2.68e-2)","unprognostic (1.71e-1)",4,4,3,11,NA,0,0,"Adipose; Heart",NA
"GREM1","CKTSF1B1, CRAC1, DAND2, DRM, gremlin, HMPS","ENSG00000166923","Gremlin 1, DAN family BMP antagonist","O60565","15","32718004-32745106","Disease related genes, Predicted secreted proteins","","Cytokine","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"gallbladder: 113.0;smooth muscle: 68.2","Cell type enhanced","Detected in many",NA,"Cardiomyocytes: 366.9;Collecting duct cells: 65.0;Granulosa cells: 119.2","Cancer enhanced","Detected in many",NA,"stomach cancer: 24.6","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Sarcoma: 31.2;thyroid cancer: 32.1","Testis - Spermatogonia","Group enriched","Detected in many",5,"hippocampal formation: 3.2;olfactory bulb: 10.9","Low region specificity","Detected in many",NA,"","HPA007526","Uncertain","","","","Secreted to blood",NA,NA,2.42e+08,NA,"","Cluster 12: Smooth muscle tissue - Mixed function","Cluster 20: Connective tissue cells - ECM organization","Cluster 77: Cardiomyocytes - Muscle contraction","","","HPA007526: AB_1849971","unprognostic (4.74e-2)","unprognostic (2.78e-1)","unprognostic (4.63e-2)","unprognostic (6.80e-2)","unprognostic (3.58e-1)","unprognostic (1.72e-1)","unprognostic (3.19e-1)","prognostic unfavorable (4.46e-4)","unprognostic (5.33e-2)","unprognostic (2.32e-1)","unprognostic (7.20e-3)","unprognostic (2.79e-1)","unprognostic (2.13e-11)","unprognostic (1.77e-2)","unprognostic (6.60e-2)","unprognostic (3.29e-2)","unprognostic (1.16e-3)",10,3,12,25,"ENST00000300177",0,0,"Blood.Vessel","Idiopathic.Pulmonary.Fibrosis"
"HLA-G","","ENSG00000204632","Major histocompatibility complex, class I, G","P17693","6","29826967-29831125","Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins","Immunity","","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in some",5,"pituitary gland: 13.8;placenta: 11.1","Cell type enriched","Detected in many",21,"Extravillous trophoblasts: 2193.5","Low cancer specificity","Detected in all",NA,"","Not detected","Not detected",NA,"","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in many",NA,"","Cancer enhanced","Detected in single",NA,"lung cancer: 1.5","Testis - Late spermatids","","",NA,"","","",NA,"","CAB016158","Enhanced","","","","Secreted to blood",NA,NA,32800000,6.7e+07,"Cluster 5: Granulocytes - Unknown function","Cluster 28: Placenta - Pregnancy","Cluster 46: Non-specific - Unknown function","Cluster 54: Extravillous trophoblasts - Unknown function","","","CAB016158: AB_627938","unprognostic (1.13e-2)","unprognostic (9.95e-2)","unprognostic (1.30e-1)","unprognostic (3.40e-2)","unprognostic (8.35e-2)","unprognostic (1.35e-1)","unprognostic (1.18e-3)","unprognostic (2.51e-1)","prognostic favorable (3.91e-5)","unprognostic (6.34e-2)","unprognostic (8.31e-2)","unprognostic (1.78e-1)","unprognostic (1.03e-2)","unprognostic (6.56e-3)","unprognostic (1.40e-1)","unprognostic (1.52e-2)","unprognostic (3.19e-3)",8,4,0,12,NA,0,0,NA,NA
"IGFBP3","BP-53, IBP3","ENSG00000146674","Insulin like growth factor binding protein 3","P17936","7","45912245-45921874","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Apoptosis","Growth factor binding","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"placenta: 1864.4","Cell type enhanced","Detected in many",NA,"Basal respiratory cells: 827.6;Club cells: 413.8;Extravillous trophoblasts: 2466.4;Ionocytes: 432.6","Cancer enhanced","Detected in all",NA,"renal cancer: 377.7","Low region specificity","Detected in all",NA,"","Immune cell enriched","Detected in many",5,"plasmacytoid DC: 54.5","Lineage enriched","Detected in many",5,"dendritic cells: 54.5","Cancer enhanced","Detected in all",NA,"Kidney cancer: 3126.4","Liver - Hepatic stellate cells, Testis - Endothelial cells","Low region specificity","Detected in all",NA,"","","",NA,"","CAB010360","","","Uncertain","Vesicles","Secreted to blood",NA,NA,3.25e+09,3.6e+09,"Cluster 3: Plasmacytoid DCs - Unknown function","Cluster 86: Liver & Placenta - Transport via ER","Cluster 68: Kidney - Mixed function","Cluster 53: Connective tissue cells - ECM organization","Vesicles","","CAB010360: AB_2233528","unprognostic (4.46e-3)","unprognostic (4.84e-2)","prognostic unfavorable (1.08e-4)","unprognostic (2.30e-1)","unprognostic (1.15e-1)","unprognostic (6.54e-2)","prognostic unfavorable (1.64e-4)","unprognostic (8.14e-3)","unprognostic (3.31e-2)","unprognostic (2.03e-1)","unprognostic (9.67e-3)","unprognostic (2.80e-1)","prognostic unfavorable (5.07e-7)","unprognostic (2.36e-2)","unprognostic (4.14e-2)","unprognostic (2.37e-3)","unprognostic (2.63e-1)",6,0,6,12,NA,1,1,"Colon; Heart; Lung","Heart.Failure"
"IGFBP5","","ENSG00000115461","Insulin like growth factor binding protein 5","P24593","2","216672105-216695549","Plasma proteins, Predicted secreted proteins","","Growth factor binding","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"cervix: 1492.5;ovary: 1323.4","Cell type enhanced","Detected in many",NA,"Fibroblasts: 1239.4;Leydig cells: 1826.4;Muller glia cells: 615.9;Peritubular cells: 1001.5;Sertoli cells: 616.4;Smooth muscle cells: 1293.2","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Brain cancer: 341.6;breast cancer: 389.0","Pancreas - Fibroblasts, Skin - Fibroblast_2","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA040514, HPA070407","","Supported","Approved","Vesicles","Secreted to blood",NA,NA,1.1e+08,3.8e+08,"","Cluster 89: Fibroblasts - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 72: Smooth muscle cells - ECM organization","Vesicles","","HPA040514: AB_2677016, HPA070407: ","unprognostic (7.69e-2)","unprognostic (2.56e-1)","unprognostic (1.02e-1)","prognostic unfavorable (1.78e-4)","unprognostic (4.58e-2)","unprognostic (3.47e-1)","unprognostic (2.04e-1)","unprognostic (1.76e-1)","unprognostic (1.32e-1)","unprognostic (9.58e-2)","unprognostic (1.12e-1)","unprognostic (2.41e-2)","unprognostic (4.04e-2)","unprognostic (9.62e-3)","unprognostic (1.55e-1)","unprognostic (3.28e-2)","unprognostic (1.91e-3)",11,0,11,22,NA,1,1,NA,"Idiopathic.Pulmonary.Fibrosis"
"IL12A","CLMF, IL-12A, NFSK, NKSF1, p35","ENSG00000168811","Interleukin 12A","P29459","3","159988835-159996019","Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Host-virus interaction","Cytokine, Growth factor","Cancer-related genes","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in some",NA,"esophagus: 4.1","Cell type enhanced","Detected in some",NA,"Endometrial ciliated cells: 3.6;Oligodendrocyte precursor cells: 3.9;Plasma cells: 3.3;Respiratory ciliated cells: 2.9;Schwann cells: 4.0","Low cancer specificity","Detected in some",NA,"","Low region specificity","Detected in many",NA,"","Immune cell enhanced","Detected in single",NA,"naive B-cell: 2.2","Low lineage specificity","Detected in single",NA,"","Low cancer specificity","Detected in many",NA,"","","Region enhanced","Detected in single",NA,"cerebral cortex: 2.8","Not detected","Not detected",NA,"","HPA001886","Uncertain","","","","Secreted to blood",NA,NA,NA,NA,"Cluster 19: B-cells - Humoral immune response","Cluster 27: Brain & Skin - Unknown function","Cluster 20: Connective tissue cells - ECM organization","Cluster 32: Neurons - Synaptic function","","","HPA001886: AB_1079132","unprognostic (6.23e-2)","unprognostic (7.82e-5)","unprognostic (1.25e-1)","unprognostic (3.10e-2)","unprognostic (4.22e-1)","unprognostic (7.18e-2)","unprognostic (4.18e-5)","unprognostic (2.22e-1)","unprognostic (1.91e-1)","unprognostic (1.07e-2)","unprognostic (1.28e-1)","unprognostic (2.31e-2)","unprognostic (9.57e-10)","unprognostic (1.62e-1)","unprognostic (1.42e-1)","unprognostic (1.16e-1)","unprognostic (9.61e-2)",5,5,1,11,NA,0,0,NA,NA
"IL6","BSF2, HGF, HSF, IFNB2, IL-6","ENSG00000136244","Interleukin 6","P05231","7","22725884-22732002","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Acute phase","Cytokine, Growth factor","Cancer-related genes, FDA approved drug targets","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"adipose tissue: 217.6;urinary bladder: 281.3","Cell type enhanced","Detected in many",NA,"Adipocytes: 184.9;Endometrial ciliated cells: 142.3;Endothelial cells: 211.0;Glandular and luminal cells: 333.0;Smooth muscle cells: 283.8","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in some",44,"memory B-cell: 3.9;naive B-cell: 4.8","Lineage enriched","Detected in single",48,"B-cells: 4.8","Cancer enhanced","Detected in many",NA,"Kidney cancer: 233.7","Colon - Neutrophils","Not detected","Not detected",NA,"","Low region specificity","Detected in many",NA,"","CAB023406, CAB072821","Supported","","Approved","Vesicles","Secreted to blood",NA,NA,5700,NA,"Cluster 21: B-cells - Adaptive immune response","Cluster 82: Adipose tissue - ECM organization","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 72: Smooth muscle cells - ECM organization","Vesicles","","CAB023406: AB_617317, CAB072821: ","unprognostic (1.13e-1)","unprognostic (1.55e-2)","unprognostic (1.47e-1)","unprognostic (1.35e-1)","unprognostic (3.59e-2)","unprognostic (9.88e-3)","unprognostic (1.35e-1)","unprognostic (3.07e-3)","unprognostic (3.25e-1)","unprognostic (2.17e-1)","unprognostic (2.48e-2)","unprognostic (8.57e-2)","prognostic unfavorable (1.10e-11)","unprognostic (2.45e-3)","unprognostic (2.10e-1)","unprognostic (4.31e-2)","unprognostic (7.80e-2)",7,3,0,10,NA,0,1,"Brain",NA
"INHBA","","ENSG00000122641","Inhibin subunit beta A","P08476","7","41667168-41705834","Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins","","Growth factor, Hormone","Cancer-related genes","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"gallbladder: 21.6","Cell type enhanced","Detected in many",NA,"Fibroblasts: 98.4;Granulosa cells: 101.9;Langerhans cells: 90.3;Leydig cells: 151.7;Pancreatic endocrine cells: 340.1;Syncytiotrophoblasts: 180.4","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"thyroid cancer: 137.5","Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Fibroblasts, Skeletal muscle - Fibroblasts","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","","","","","","Secreted to blood",NA,NA,NA,210000,"","Cluster 85: Liver - Metabolism","Cluster 20: Connective tissue cells - ECM organization","Cluster 19: Macrophages - Innate immune response","","","","unprognostic (4.11e-3)","prognostic unfavorable (1.46e-5)","unprognostic (4.22e-2)","unprognostic (1.08e-1)","unprognostic (5.18e-2)","prognostic unfavorable (4.34e-4)","unprognostic (2.05e-2)","prognostic unfavorable (7.72e-4)","unprognostic (1.44e-1)","unprognostic (1.31e-1)","unprognostic (1.23e-2)","unprognostic (2.04e-1)","prognostic unfavorable (7.91e-8)","unprognostic (6.22e-3)","unprognostic (1.11e-2)","unprognostic (3.25e-2)","unprognostic (3.18e-3)",4,5,4,13,NA,0,0,NA,NA
"KISS1","","ENSG00000170498","KiSS-1 metastasis suppressor","Q15726","1","204190341-204196491","Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins","","","Cancer-related genes, Disease variant, Hypogonadotropic hypogonadism","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in some",22,"placenta: 233.1","Cell type enriched","Detected in many",31,"Syncytiotrophoblasts: 1384.1","Cancer enhanced","Detected in many",NA,"urothelial cancer: 9.2","Region enriched","Detected in some",6,"hypothalamus: 10.7","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Lung - Alveolar cells type 2, Testis - Late spermatids","","",NA,"","Not detected","Not detected",NA,"","CAB017775, HPA035542","Enhanced","","Approved","Vesicles","Secreted in female reproductive system",NA,NA,NA,860000,"","Cluster 28: Placenta - Pregnancy","Cluster 3: HUVEC & TIME - Signal transduction","Cluster 67: Syncytiotrophoblasts - Pregnancy","Vesicles","","CAB017775: , HPA035542: AB_2674677","unprognostic (9.64e-2)","unprognostic (1.78e-2)","unprognostic (1.86e-2)","unprognostic (1.18e-2)","unprognostic (3.89e-1)","unprognostic (6.87e-2)","unprognostic (1.87e-1)","unprognostic (3.28e-2)","","unprognostic (1.28e-2)","unprognostic (4.51e-2)","unprognostic (1.63e-1)","unprognostic (8.98e-12)","unprognostic (2.25e-1)","unprognostic (2.91e-2)","unprognostic (1.76e-1)","prognostic favorable (6.29e-6)",6,7,3,16,NA,0,0,NA,NA
