GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
SLC2A10,P3H2,GFRA1,CCDC9B,CRABP2,BCL2L2-PABPN1,GREM1,LAMC2,SLC1A1,SGIP1,PSG8,CSPG4,CLDN1
FZD7,APCDD1L,BDNF,KCTD4,SGCD,CNTN3,CLEC11A,CXCL2,EMILIN1,LAYN,PRR16,CREB3L1,GPR176
EDIL3,INSYN2B,MYLK,SYNPO2,H3-5,VEPH1,COL13A1,ACTA1,SCARF2,HOXA5,TMEM130,IGFBP3,NALF1
TMEM47,FBLN5,SPATA18,CYGB,STC1,NSG1,H3-7,SUGCT,PEAR1,CDH6,FBLN5,ANK1,COL6A3
C1QTNF7,FER1L6,HOXC11,ICAM5,BDNF,KRTAP2-2,GAS6,PRSS22,TAGLN,GDF2,COL11A1,SGIP1,CPA4
SLC4A4,ADAMTS2,RAB6C,IGFBP5,CALHM5,BFSP1,ACTA2,C12orf54,PAMR1,DPYSL4,ADGRA2,PRR16,EYA4
LPAR1,ADAMTS7,MMP19,JPH2,ANGPTL2,STK32B,TNFRSF10D,MT1A,ADAMTSL1,HEPH,DCN,LIMS2,CYGB
STC2,ARHGEF28,FBLN1,P3H3,MAMDC2,CPA4,DCBLD2,ARTN,RHOJ,SPATA18,PCDH18,CXCL12,SH3RF3
FLNC,CLDN1,FMOD,RAB3B,C11orf87,P3H2,H2BC11,MMP28,IGFBP5,DAW1,ACKR4,THY1,ITGBL1
CNTN3,VCAM1,HSPB6,LRRC15,GNA14,MARCHF4,FOXD1,CEMP1,AMIGO2,ADAMTS6,PIANP,KCNIP3,LRRC15
MRGPRF,DKK3,ADGRA2,COL11A1,ISLR,HSPE1-MOB4,SPATA21,C17orf100,BAMBI,IGFBP5,A2M,HSPB3,ITGA8
ITGA2,MFAP4,GAS1,CPNE7,GLRB,MSX2,PLAT,TRIM29,CSF2RB,CCL20,EDA2R,EDA2R,DKK3
PCDH18,C1QTNF1,PRRX2,CALB2,FBLN1,RPL36A-HNRNPH2,ITGA1,GJB4,CLDN1,SFRP2,ROBO2,SHOX2,COL7A1
CCDC3,COL6A2,COL5A3,P3H2,THBS1,PCDHGB7,ADAMTS12,IRX1,EDA2R,FOXD1,PEAR1,BGN,SLC2A10
LUM,IGFBP5,CLEC11A,SRPX,ADM,STON1-GTF2A1L,SLC4A4,SLC38A5,ASPN,EPHA4,DKK3,NFATC4,COL16A1
FAT4,CMKLR1,TRPC6,ANO1,SERPINB7,PTGS1,PCDHGB3,TINAGL1,PPFIA4,STC2,SOD3,IGFBP6,CORO2B
PRPS1L1,COL12A1,COPZ2,DKK2,FGF9,ATP5MF-PTCD1,ADAMTS8,PCSK1N,THBS1,THBS1,AOX1,CACNA1C,AK5
CLEC14A,P3H3,NCKAP5,NTM,ADGRB2,CDH6,SGCD,IFI27L2,INHBA,EPHA5,HOXB3,GLUD2,STC1
PLOD2,CNN1,SH2D5,CHRM3,THY1,RPL17-C18orf32,PDGFRA,SERPINB3,SYNC,DIO2,DPP4,ADAMTS1,ADAM23
LOXL4,MMP19,LIMS2,CD163L1,LYNX1,HAS3,TRNP1,DQX1,WNT5B,LRRN3,CRHBP,PCOLCE,GNG5B
DPP4,IL12A,COL16A1,NLRP10,TMEM35A,LPAR1,ZNF804A,CLDN1,TSPAN2,JCAD,MYLK,VASN,ADAMTS5
KRTAP1-5,SCARF2,ANPEP,ZNF804A,HOXD10,CHRNA1,STK32B,EHF,FZD7,TREM1,ZNF804A,DPYSL4,MXRA8
SHC3,COL7A1,STC1,EFEMP2,LIMS2,PTGES3L-AARSD1,TAGLN,IL18,ADAMTS2,CDCP1,GLUD2,NLGN4Y,LOXL2
TBX2,LAMA1,ANO3,HSPB7,LCE2A,TRHDE,FZD7,EPGN,ADAM19,PPP1R3C,OSTN,COL3A1,HOXB6
GPR176,RFX8,VASN,SCARF2,ANO4,NID2,PPP1R3C,SLAMF9,SH3RF2,SYNPO2,FAM171A2,DAAM2,LTBP1
VAT1L,PRKG1,LRRN3,ARHGEF28,STC2,LPAR3,GPR37,HES4,CDH11,PCDHGB5,CLEC11A,CPED1,C1S
FMN2,THSD4,COL8A2,PDGFRA,LOXL3,WFDC1,SFRP1,ESPN,ACTA2,COL3A1,FILIP1L,FZD2,PTGER2
IL7R,PCDHGB4,RHOJ,ADAMTS2,PAPPA,EDA2R,CAVIN3,TENM2,STC2,DACT1,ARSJ,NID2,ZNF804A
NES,CSPG4,KCNK2,DCBLD2,C1S,WNT5B,SYNC,KRTAP19-1,LOXL1,FAT4,PODN,SOD3,CLEC11A
ITGB3,C1S,TMTC1,DPP4,COL4A4,COPZ2,LOX,S100A7,CDK15,CLDN1,MFGE8,RAB3B,MGARP
ADAM19,DPP4,MFAP5,ZNF469,TMEM47,NALF1,JCAD,SPRR1A,GALNT18,PCDH10,PDGFRA,STK32B,VEGFC
EMILIN1,JCAD,ADM,MFAP4,PDE1C,ALPK2,TMEM35A,CXCL5,AGTR1,COL4A6,FZD2,COPZ2,FILIP1L
ZPLD1,EDNRA,COL6A3,CSNK2A3,NID2,FST,LPAR1,LDLRAD2,ANGPT1,CCL2,TCEAL7,CRABP2,EFEMP2
ELFN2,GNG5B,PRRX1,GPR176,KCTD4,SFT2D3,KCNF1,ALOX15B,GDF6,TFPI2,SLC2A10,MXRA8,NES
RTL1,PTGS1,CSPG4,FZD2,MYPN,GYG2,PLAU,GBP6,EDIL3,GALNT18,GPR176,THBS2,ITGA2
PODN,USP9Y,ECM1,TRNP1,EDA2R,EYA4,MSMP,CYP2S1,ADAM12,TYRP1,NEXN,PAPSS2,FGF9
FOXF2,GPR176,HSPB3,RGS4,COLEC12,SH2D5,ANKRD30BL,GPX2,RAB6C,LUM,CDH6,ARSJ,CHRDL2
EDA2R,MXRA5,ZNF469,EDA2R,SGIP1,FGF14,KRTAP1-5,FAT2,TIMP3,CDK15,VASN,SHOX,P3H3
PTGS1,PZP,DCLK2,MMP19,TMEM176A,NPB,BLID,RRAS,CHRNA1,EVC2,HBD,ZNF469,COL1A2
COL12A1,A2M,NFATC4,PITX1,NEFM,IL6,COPZ2,PPP1R14C,SHC3,EXTL1,GPC4,KCTD16,SRPX2
SPATA18,PITX1,COL8A1,COL6A2,FAM167B,TMEM158,KCTD4,MT1H,ITGA7,TM6SF1,SLC27A6,MFAP4,MMP2
NECTIN3,EDIL3,ADRA1D,WNT5A,CPA4,GDF9,NT5C1B-RDH14,ALDH1A3,BDKRB1,GNAT2,SLC4A4,AEBP1,TMEM47
GAS6,FBN2,PTGS1,AOX1,ANK1,ANKUB1,CYTL1,MT1E,FLNC,WNT5B,LTBP1,PAX3,BGN
FRMD6,ZFY,TRNP1,HOXB3,DCN,HSD17B2,COL12A1,H2BC12,IRAG1,SLC4A4,EFEMP2,FAM180A,FLNC
COL1A2,SPATA18,FZD7,COL1A2,ACVRL1,CSDC2,GLUD2,SLITRK6,FRMD6,TAGLN,PITX1,MYH2,IL6
LTBP1,COL1A2,CREB3L1,SGCD,GPR176,CYTL1,GPR176,SNCG,SLC2A10,COPZ2,GNG5B,MRC2,COL3A1
DKK3,SEMA3A,SFRP1,GDF5,PRRX2,RSPH10B2,FMN2,FAM110C,TMEM200A,NCKAP5,KNDC1,PDGFRB,COL14A1
VCAM1,THY1,COL7A1,ANGPT1,GAS6,SEMA3A,CFAP73,SLC35F3,EVC2,IGFBP6,SERPINB7,COL5A1,SALL1
COL6A3,PTGFR,FZD2,LTBP1,SEMA3B,NTF3,GFRA1,RAB38,EVA1A,DPP4,PLAU,TRPC4,CCN2
TNFSF18,SLC4A4,SYNPO2,CORO2B,ADH1B,PIGY,PITX1,TRIM74,PCDHGA4,PODN,GFRA1,TMEM47,FMN2
NTM,HSPB7,DAAM2,COL4A6,ITGBL1,CEP295NL,TMEM47,KDF1,NUAK1,LTBP1,SERINC2,MMP1,SYDE1
TAGLN,FMN2,FRMD6,SALL1,VASN,RBM24,SERPINB7,CTAGE6,TGFB2,TENM2,HOXB5,COL5A2,POSTN
THY1,TRPV2,MYOCD,NID2,CREB3L1,MMP19,EDIL3,CYP24A1,JCAD,ELFN2,FIBCD1,APCDD1L,NR2F1
EVA1A,SRPX,COL1A2,HOXB6,CNN1,PSG1,SOGA3,PRSS8,ADAM23,FBN1,NES,SLC17A9,COL4A6
TCEAL7,VEGFC,MXRA8,COL7A1,COL12A1,MXRA5,RTL1,SERPINB4,ITGB3,ARSI,RCAN2,SYNC,CCN4
COL3A1,PAPPA,RGMB,CCL2,AOX1,PIEZO2,SH2D5,PKP3,CSPG4,ADAMTS2,TM4SF1,COL6A3,TAGLN
SERPINE1,ATP10A,TBX3,NRK,DAAM2,CCDC175,RBM24,CRYBB2,SVEP1,FGF1,CSPG4,PCDH18,SRPX
SERPINB2,PTGER2,SERPINE2,KIT,CDK15,FBLN5,FAT4,KRT19,GAS6,CXCL8,FLNC,ANGPTL2,ADAMTS1
COL6A2,DCN,GAS6,TNFRSF10D,PAX3,TMEM178B,ITGB3,CTAGE15,PCDHGB4,FMOD,PSG6,FLNC,COL1A1
PLAU,TAGLN,COL3A1,CSPG4,KCNS3,ACVRL1,DKK3,GNA15,THY1,NGF,SPATA18,GAS6,SERPINE1
SLC6A15,SLITRK6,FLNC,COPZ2,VEPH1,ANGPT1,ATP10A,CTXN1,CDH13,AADAC,BMP4,FRMD6,INHBA
TIMP3,FLNC,GNAO1,FOSL1,SPATA18,OVCH1,CFAP126,CXCL17,FBN1,WNT5A,MFAP4,NES,EDIL3
COL5A1,WNT5A,PCOLCE,MXRA8,COPZ2,ROBO2,CDC42EP5,CXCL6,NID2,BLID,PKDCC,TBX3,HEPH
FBN1,FKBP10,LOXL1,CDK15,COL11A1,TMEM171,FST,FOXL2,COL16A1,CHRNA1,EPHA5,EFEMP1,IGFBP4
COL5A2,NT5E,PSG6,BMP4,RHOJ,HOXA2,COL11A1,C2orf66,GPX7,EVA1A,EYA4,COL6A2,FMOD
TGFBI,PDGFRB,PCDH18,TRPV2,TWIST1,IL31RA,COL6A3,IRF6,GPRIN2,HEG1,CLDN1,SERPINE1,COL5A2
COL4A1,FMOD,ADAMTS1,ATP10A,SERPINB2,ARSJ,ADAMTS1,IGFL1,NKX6-1,EDIL3,CCN2,FBN1,COL6A1
,COL4A5,AOX1,SERINC2,SERPINE2,AOX1,VCAM1,BPIFB1,WNT5A,CDH11,TFPI2,COL1A1,COL5A1
,COL3A1,IGFBP3,SRPX2,HR,ADAMTS5,MYOCD,IVL,PODN,INHBA,WNT5A,CCN2,COL11A1
,MMP2,COX7A1,A2M,KCNJ8,HOXB6,FBN2,IGFBP2,COL5A1,TIMP3,IGFBP4,CDH11,PXDN
,CCN2,SLC17A9,PZP,NGF,CCDC169-SOHLH2,LRCH2,HSD11B1,PDGFRB,FRMD6,COL12A1,IGFBP4,UCHL1
,PXDN,CLCA2,SLC6A15,ADAMTS2,LMOD1,IGFBP5,TNFRSF6B,CCDC80,NRG1,SRPX2,PRRX1,RND3
,STC2,ENPP2,CYP2S1,IGFBP5,TMEM35A,MMP10,H2AC7,MAP6,MEDAG,HSPB7,ANPEP,TGFBI
,COL1A1,PAPPA,COL6A3,SEMA5A,CFAP73,PLCB4,LAD1,SLC38A5,DDR2,PPP1R3C,CDH2,
,FN1,USP9Y,LOXL2,FOXF1,SLC4A4,PAPPA,MMP12,GJA3,HAS2,CCND1,MMP2,
,,MRC2,GREM1,RGMB,VEGFC,CD248,H2BC17,PDGFRA,KCND2,ADGRL4,KRT19,
,,RCAN2,COL12A1,HLA-G,ADAMTS12,COL5A2,SERPINA3,LTBP1,FST,NT5E,,
,,AEBP1,VEGFC,FZD7,CDK15,THY1,FOXD1,COL1A2,PSG1,SGCD,,
,,PTGFR,SYDE1,RGCC,VAT1L,DCN,COPZ2,DPP4,DKK1,COL1A2,,
,,SYNC,EDIL3,IGFBP6,PLAU,COL1A2,H2AC15,OR2W3,COL5A2,EDIL3,,
,,HSPB7,ZFY,ACKR3,KCNF1,ITGBL1,SPRR2D,TPBG,FLNC,COL6A2,,
,,TBX2,DCN,IGFBP3,C1QTNF5,IGFBP7,CRCT1,HEG1,SRPX,MMP2,,
,,PDGFRB,TMEM47,SECTM1,DKK3,TFPI2,TFPI2,COL5A2,COL1A2,RND3,,
,,NES,SERPINE1,LOXL1,NT5E,NES,MT2A,OVCH2,GABRA5,FN1,,
,,COL6A2,CAVIN3,NFASC,CLDN1,NT5E,VEGFC,NNMT,TGFBI,COL1A1,,
,,ITGBL1,PDGFRB,COL16A1,POPDC3,COL3A1,RASSF10,IDI2,COL4A5,UCHL1,,
,,FBN1,IGFBP4,SH2D5,ANGPTL2,COL6A2,S100A12,APCDD1L,SFRP1,,,
,,HOXC10,AEBP1,AEBP1,MFAP4,FLNC,CBLC,DKK1,COL6A3,,,
,,IGFBP4,TPM2,RIPK3,INA,RND3,IL6,C15orf48,EFEMP1,,,
,,COL5A2,TFPI2,ECM1,CD44,,PRPS1L1,STC1,ADGRL4,,,
,,DKK3,COL1A1,CORO7-PAM16,BMP4,,DUOXA1,TENM2,PDGFRB,,,
,,SERPINE1,MMP2,CLCA2,LTBP1,,RGPD4,H4C6,THY1,,,
,,MMP2,FN1,CYBRD1,TMEM176B,,SIX2,SLAMF7,CXCL12,,,
,,COL1A1,CCN2,PRRX1,CCN4,,RPL10L,MRC2,KRT7,,,
,,DCN,COL3A1,LRCH2,TMEM47,,CFAP126,SRPX2,COL4A1,,,
,,FKBP10,,TRNP1,LIF,,KRT23,GATA6,CDH2,,,
,,TMEM47,,SYNC,TBX2,,NKX1-2,GNAT2,CCN2,,,
,,CDH11,,MXRA8,TMEM200A,,RAB25,CXCL12,DKK3,,,
,,COL5A1,,FBN2,MSMP,,RIPK4,KRT7,FN1,,,
,,TIMP3,,KCNK2,CCL2,,SCEL,FKBP10,,,,
,,CAV1,,PDGFRB,SRPX2,,SERPINB2,CCN2,,,,
,,,,SLIT2,SERPINB2,,MMP1,DDR2,,,,
,,,,ELFN2,LUM,,SNAI2,TMEM47,,,,
,,,,FAM180A,DCN,,PPBP,MEDAG,,,,
,,,,TBX15,COL12A1,,FAM83B,COL6A3,,,,
,,,,CCL11,UCHL1,,PI3,NT5E,,,,
,,,,MAP6,RND3,,,CDH2,,,,
,,,,PSG6,,,,COL6A2,,,,
,,,,GFRA1,,,,COL4A1,,,,
,,,,FLNC,,,,TGFBI,,,,
,,,,VIT,,,,HTRA1,,,,
,,,,COL6A2,,,,COL1A1,,,,
,,,,GPNMB,,,,DKK3,,,,
,,,,PTGS2,,,,FN1,,,,
,,,,PSG8,,,,,,,,
,,,,COL1A2,,,,,,,,
,,,,ADAMTSL1,,,,,,,,
,,,,IGFBP4,,,,,,,,
,,,,PDGFRA,,,,,,,,
,,,,TCEAL7,,,,,,,,
,,,,HOXC10,,,,,,,,
,,,,SFRP1,,,,,,,,
,,,,DPP4,,,,,,,,
,,,,COL3A1,,,,,,,,
,,,,MRC2,,,,,,,,
,,,,ADAMTS12,,,,,,,,
,,,,PCDH18,,,,,,,,
,,,,SERPING1,,,,,,,,
,,,,PDZRN3,,,,,,,,
,,,,CDH11,,,,,,,,
,,,,DKK3,,,,,,,,
,,,,CCN2,,,,,,,,
,,,,COL1A1,,,,,,,,
,,,,SERPINE1,,,,,,,,
,,,,MMP2,,,,,,,,
,,,,EFEMP1,,,,,,,,
