Gene,Ensembl,Gene description,Significant transcript(s),ARCHS4 (gene level),GTEx (gene level),TabulaSapiens (gene level),Total conditions (gene level),CellAge,SenMayo,AgedTissue,DiseaseTissue,Protein.class,Biological.process,Molecular.function,Disease.involvement,Evidence,RNA.tissue.specificity,RNA.tissue.distribution,RNA.tissue.specificity.score,RNA.tissue.specific.nTPM,RNA.single.cell.type.specificity,RNA.single.cell.type.distribution,RNA.single.cell.type.specificity.score,RNA.single.cell.type.specific.nTPM,RNA.cancer.specificity,RNA.cancer.distribution,RNA.cancer.specificity.score,RNA.cancer.specific.FPKM,RNA.brain.regional.specificity,RNA.brain.regional.distribution,RNA.brain.regional.specificity.score,RNA.brain.regional.specific.nTPM,RNA.blood.cell.specificity,RNA.blood.cell.distribution,RNA.blood.cell.specificity.score,RNA.blood.cell.specific.nTPM,RNA.blood.lineage.specificity,RNA.blood.lineage.distribution,RNA.blood.lineage.specificity.score,RNA.blood.lineage.specific.nTPM,RNA.cell.line.specificity,RNA.cell.line.distribution,RNA.cell.line.specificity.score,RNA.cell.line.specific.nTPM,RNA.tissue.cell.type.enrichment,RNA.mouse.brain.regional.specificity,RNA.mouse.brain.regional.distribution,RNA.mouse.brain.regional.specificity.score,RNA.mouse.brain.regional.specific.nTPM,RNA.pig.brain.regional.specificity,RNA.pig.brain.regional.distribution,RNA.pig.brain.regional.specificity.score,RNA.pig.brain.regional.specific.nTPM,Antibody,Reliability..IH.,Reliability..Mouse.Brain.,Reliability..IF.,Subcellular.location,Secretome.location,CCD.Protein,CCD.Transcript,Blood.concentration...Conc..blood.IM..pg.L.,Blood.concentration...Conc..blood.MS..pg.L.,Blood.expression.cluster,Tissue.expression.cluster,Cell.line.expression.cluster,Single.cell.expression.cluster,Subcellular.main.location,Subcellular.additional.location,Antibody.RRID
PSG4,ENSG00000243137,Pregnancy specific beta-1-glycoprotein 4,ENST00000244295; ENST00000451895; ENST00000597912; ENST00000601041,6,11,6,23,1,0,NA,NA,"Predicted intracellular proteins, Predicted secreted proteins",,,,Evidence at protein level,Group enriched,Detected in some,30,parathyroid gland: 55.6;placenta: 143.4,Cell type enriched,Detected in some,41,Syncytiotrophoblasts: 561.0,Low cancer specificity,Detected in some,NA,,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,,,,NA,,,,NA,,HPA046327,Supported,,,,Secreted in female reproductive system,NA,NA,NA,5.80E+07,,Cluster 28: Placenta - Pregnancy,Cluster 20: Connective tissue cells - ECM organization,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,HPA046327: AB_2679624
IGFBP5,ENSG00000115461,Insulin like growth factor binding protein 5,NA,11,0,11,22,1,1,NA,Idiopathic.Pulmonary.Fibrosis,"Plasma proteins, Predicted secreted proteins",,Growth factor binding,,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 1492.5;ovary: 1323.4,Cell type enhanced,Detected in many,NA,Fibroblasts: 1239.4;Leydig cells: 1826.4;Muller glia cells: 615.9;Peritubular cells: 1001.5;Sertoli cells: 616.4;Smooth muscle cells: 1293.2,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Brain cancer: 341.6;breast cancer: 389.0,"Pancreas - Fibroblasts, Skin - Fibroblast_2",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA040514, HPA070407",,Supported,Approved,Vesicles,Secreted to blood,NA,NA,1.10E+08,3.80E+08,,Cluster 89: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 72: Smooth muscle cells - ECM organization,Vesicles,,"HPA040514: AB_2677016, HPA070407: "
WNT16,ENSG00000002745,Wnt family member 16,ENST00000222462; ENST00000361301,8,8,6,22,0,1,NA,NA,"Predicted intracellular proteins, Predicted secreted proteins",Wnt signaling pathway,Developmental protein,,Evidence at protein level,Group enriched,Detected in some,4,cervix: 6.0;skin 1: 20.5,Cell type enhanced,Detected in some,NA,B-cells: 3.9;Basal keratinocytes: 6.1;Endometrial stromal cells: 3.3;Inhibitory neurons: 5.9;Microglial cells: 3.6;Suprabasal keratinocytes: 6.3,Cancer enhanced,Detected in some,NA,lung cancer: 1.1,Not detected,Not detected,NA,,Group enriched,Detected in some,145,memory B-cell: 15.6;naive B-cell: 15.4,Lineage enriched,Detected in single,146,B-cells: 15.6,Cancer enhanced,Detected in some,NA,Leukemia: 10.0,Colon - Enteric glia cells,Low region specificity,Detected in single,NA,,Region enhanced,Detected in some,NA,spinal cord: 4.4,,,,,,Secreted to extracellular matrix,NA,NA,NA,NA,Cluster 19: B-cells - Humoral immune response,Cluster 61: Skin - Cornification,Cluster 23: B-cell cancers - Adaptive immune response,Cluster 37: Neurons - Neuronal signaling,,,
COL3A1,ENSG00000168542,Collagen type III alpha 1 chain,ENST00000317840,10,0,11,21,0,0,NA,Idiopathic.Pulmonary.Fibrosis,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,,"Aortic aneurysm, Disease variant, Ehlers-Danlos syndrome, FDA approved drug targets",Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 2369.0;gallbladder: 2092.8;placenta: 1981.7;smooth muscle: 2140.7,Group enriched,Detected in many,4,Endometrial stromal cells: 2622.9;Fibroblasts: 1426.6;Smooth muscle cells: 709.7;Theca cells: 729.0,Low cancer specificity,Detected in all,NA,,Group enriched,Detected in all,4,cerebral cortex: 15.0;thalamus: 10.9;white matter: 4.6,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Rhabdoid: 1260.1;testis cancer: 954.8,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1",Low region specificity,Detected in all,NA,,Region enhanced,Detected in all,NA,spinal cord: 61.1,"HPA007583, CAB016766, CAB059993",Approved,,Approved,Endoplasmic reticulum,Secreted to extracellular matrix,NA,NA,NA,3.20E+07,,Cluster 46: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Endoplasmic reticulum,,"CAB016766: , CAB059993: AB_2314211, HPA007583: AB_1078548"
COL6A3,ENSG00000163359,Collagen type VI alpha 3 chain,ENST00000353578,9,0,12,21,0,0,Muscle,Idiopathic.Pulmonary.Fibrosis,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Cell adhesion,"Protease inhibitor, Serine protease inhibitor","Congenital muscular dystrophy, Disease variant, Dystonia, Limb-girdle muscular dystrophy",Evidence at protein level,Tissue enhanced,Detected in many,NA,smooth muscle: 391.3,Cell type enhanced,Detected in many,NA,Cardiomyocytes: 213.4;Endometrial stromal cells: 331.7;Fibroblasts: 695.7;Leydig cells: 305.8;Smooth muscle cells: 181.0,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Brain cancer: 354.0,"Kidney - Fibroblasts, Liver - Hepatic stellate cells, Skin - Fibroblast_2",Region enhanced,Detected in some,NA,basal ganglia: 4.5,Region enriched,Detected in many,4,spinal cord: 12.0,"HPA010007, HPA010080",Supported,,Approved,"Endoplasmic reticulum,Vesicles",Secreted to extracellular matrix,NA,NA,NA,1.00E+09,,Cluster 46: Fibroblasts - ECM organization,Cluster 59: Fibroblasts - Metabolism,Cluster 65: Fibroblasts - ECM organization,Endoplasmic reticulum,Vesicles,"HPA010007: , HPA010080: AB_1078550"
DKK1,ENSG00000107984,Dickkopf WNT signaling pathway inhibitor 1,NA,5,10,5,20,0,1,Blood.Vessel,NA,Predicted secreted proteins,Wnt signaling pathway,Developmental protein,,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 34.0;placenta: 48.9,Cell type enriched,Detected in many,4,Endometrial stromal cells: 356.9,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,Skin - Macrophages,Not detected,Not detected,NA,,Low region specificity,Detected in single,NA,,,,,,,Secreted in other tissues,NA,NA,NA,NA,,Cluster 82: Adipose tissue - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 52: Endometrial stromal cells - ECM organization,,,
NID2,ENSG00000087303,Nidogen 2,NA,9,1,10,20,0,0,NA,NA,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Cell adhesion,,,Evidence at protein level,Tissue enhanced,Detected in many,NA,placenta: 60.8,Cell type enhanced,Detected in many,NA,Adipocytes: 26.0;Fibroblasts: 43.4;Microglial cells: 19.2;Smooth muscle cells: 23.2;Theca cells: 33.9;Thymic epithelial cells: 24.3,Cancer enhanced,Detected in all,NA,thyroid cancer: 15.7,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,ovarian cancer: 57.2,"Liver - Hepatic stellate cells, Prostate - Fibroblasts",Low region specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,"HPA052460, HPA058772",Enhanced,,Enhanced,Plasma membrane,Secreted to extracellular matrix,NA,NA,NA,6300000,,Cluster 28: Placenta - Pregnancy,Cluster 59: Fibroblasts - Metabolism,Cluster 53: Connective tissue cells - ECM organization,Plasma membrane,,"HPA052460: AB_2681840, HPA058772: AB_2683815"
PSG1,ENSG00000231924,Pregnancy specific beta-1-glycoprotein 1,NA,8,10,2,20,1,0,NA,NA,"CD markers, Predicted intracellular proteins, Predicted secreted proteins",,,,Evidence at protein level,Tissue enriched,Detected in some,161,placenta: 259.7,Cell type enriched,Detected in some,92,Syncytiotrophoblasts: 202.8,Cancer enhanced,Detected in single,NA,thyroid cancer: 0.5,Low region specificity,Detected in single,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,thyroid cancer: 166.9,,,,NA,,,,NA,,HPA046327,Supported,,,,Secreted in female reproductive system,NA,NA,NA,7.50E+07,,Cluster 28: Placenta - Pregnancy,Cluster 20: Connective tissue cells - ECM organization,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,HPA046327: AB_2679624
RSPO1,ENSG00000169218,R-spondin 1,NA,7,6,7,20,0,0,NA,NA,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins","Sensory transduction, Wnt signaling pathway",Heparin-binding,Palmoplantar keratoderma,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 28.9;endometrium 1: 41.4,Group enriched,Detected in some,4,Breast glandular cells: 12.2;Breast myoepithelial cells: 18.1;Thymic epithelial cells: 33.7,Cancer enriched,Detected in some,13,ovarian cancer: 11.8,Not detected,Not detected,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Not detected,Not detected,NA,,Adipose visceral - Mesothelial cells,Low region specificity,Detected in many,NA,,Low region specificity,Detected in some,NA,,"HPA046154, HPA062923",Uncertain,,Approved,Vesicles,Secreted in female reproductive system,NA,NA,NA,NA,,Cluster 89: Fibroblasts - ECM organization,Cluster 47: Retina - Visual perception,Cluster 73: Prostatic glandular cells - Transcription,Vesicles,,"HPA046154: AB_10964912, HPA062923: "
SERPINE1,ENSG00000106366,Serpin family E member 1,NA,8,0,12,20,0,1,Blood.Vessel; Brain,NA,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins",,"Protease inhibitor, Serine protease inhibitor","Cancer-related genes, FDA approved drug targets",Evidence at protein level,Tissue enhanced,Detected in all,NA,placenta: 418.0,Group enriched,Detected in many,4,Fibroblasts: 205.9;Pancreatic endocrine cells: 472.3;Syncytiotrophoblasts: 748.4,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Immune cell enriched,Detected in single,20,NK-cell: 9.5,Lineage enriched,Detected in single,20,NK-cells: 9.5,Cancer enhanced,Detected in all,NA,Kidney cancer: 1244.1,Colon - Neutrophils,Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,CAB068501,Uncertain,,,,Secreted to blood,NA,No,1.42E+08,1.30E+07,Cluster 22: NK-cells - Unknown function,Cluster 86: Liver & Placenta - Transport via ER,Cluster 20: Connective tissue cells - ECM organization,Cluster 74: Pancreatic cells - Mixed function,,,CAB068501: AB_1642775
WNT5B,ENSG00000111186,Wnt family member 5B,NA,12,0,8,20,0,0,NA,NA,Predicted secreted proteins,Wnt signaling pathway,Developmental protein,,Evidence at protein level,Tissue enhanced,Detected in many,NA,prostate: 32.4,Cell type enhanced,Detected in many,NA,Basal squamous epithelial cells: 19.5;Club cells: 20.5;Microglial cells: 19.2;Muller glia cells: 34.5;Prostatic glandular cells: 18.3;Salivary duct cells: 23.6,Cancer enhanced,Detected in all,NA,testis cancer: 15.8,Low region specificity,Detected in all,NA,,Immune cell enhanced,Detected in some,NA,classical monocyte: 1.8;eosinophil: 1.5,Low lineage specificity,Detected in many,NA,,Low cancer specificity,Detected in many,NA,,"Kidney - Fibroblasts, Liver - Hepatocytes, Thyroid - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,HPA061991,,,Approved,Vesicles,Secreted to extracellular matrix,NA,NA,NA,NA,Cluster 45: Eosinophils - Innate immune response,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Vesicles,,HPA061991: 
COL1A1,ENSG00000108821,Collagen type I alpha 1 chain,ENST00000474644,8,0,11,19,0,0,Brain,Idiopathic.Pulmonary.Fibrosis,"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,,"Cancer-related genes, Disease variant, Dwarfism, Ehlers-Danlos syndrome, FDA approved drug targets, Osteogenesis imperfecta",Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 1331.8;gallbladder: 1211.3,Cell type enhanced,Detected in many,NA,Endometrial stromal cells: 1863.1;Fibroblasts: 1830.1;Leydig cells: 557.7;Pancreatic endocrine cells: 1576.7;Smooth muscle cells: 657.2,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,Brain cancer: 1245.5,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Stomach - Fibroblasts, Thyroid - Fibroblasts",Low region specificity,Detected in all,NA,,Region enhanced,Detected in all,NA,spinal cord: 115.9,"HPA011795, HPA012111",Approved,,Approved,"Endoplasmic reticulum,Vesicles",Secreted to extracellular matrix,NA,NA,NA,8.00E+07,,Cluster 46: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 53: Connective tissue cells - ECM organization,Endoplasmic reticulum,Vesicles,"HPA011795: AB_1847088, HPA012111: "
LIF,ENSG00000128342,LIF interleukin 6 family cytokine,NA,7,6,6,19,0,0,Adrenal.Gland,NA,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,"Cytokine, Growth factor",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,gallbladder: 47.7;urinary bladder: 91.0,Cell type enhanced,Detected in many,NA,Basal respiratory cells: 98.6;Endometrial ciliated cells: 69.3;Glandular and luminal cells: 180.4;granulocytes: 116.9;Ionocytes: 283.1,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,Pancreas - Ductal cells,Not detected,Not detected,NA,,Not detected,Not detected,NA,,"HPA018844, CAB025985",Uncertain,,Supported,Cytosol,Secreted in other tissues,NA,NA,NA,NA,,Cluster 82: Adipose tissue - ECM organization,Cluster 33: Skin cancer - Membrane components,Cluster 14: Endometrium - Transcription regulation,Cytosol,,"CAB025985: , HPA018844: AB_1852814"
MASP1,ENSG00000127241,Mannan binding lectin serine peptidase 1,NA,9,0,9,18,1,0,Blood.Vessel; Lung,NA,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Complement activation lectin pathway, Immunity, Innate immunity","Hydrolase, Protease, Serine protease",Disease variant,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 120.0;heart muscle: 116.1;liver: 183.4,Cell type enhanced,Detected in some,NA,Astrocytes: 27.2;Cardiomyocytes: 29.4;Cholangiocytes: 26.9;Endometrial stromal cells: 30.1;Fibroblasts: 17.1;Hepatocytes: 58.1,Group enriched,Detected in some,9,glioma: 6.8;liver cancer: 7.7;prostate cancer: 3.0;renal cancer: 3.9,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in some,NA,liver cancer: 12.0;Rhabdoid: 14.0,"Breast - Fibroblasts, Pancreas - Fibroblasts, Prostate - Smooth muscle cells, Skin - Fibroblast_1, Skin - Fibroblast_2",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA001617, HPA009641",Supported,,Enhanced,"Nucleoplasm,Cytosol",Secreted to blood,No,NA,8.67E+09,1.90E+09,,Cluster 85: Liver - Metabolism,Cluster 20: Connective tissue cells - ECM organization,Cluster 52: Endometrial stromal cells - ECM organization,"Nucleoplasm, Cytosol",,"HPA001617: AB_1079314, HPA009641: AB_1079313"
PLAT,ENSG00000104368,"Plasminogen activator, tissue type",ENST00000352041; ENST00000519510,9,0,9,18,1,1,Blood.Vessel; Muscle,NA,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Plasminogen activation,"Hydrolase, Protease, Serine protease","Cancer-related genes, FDA approved drug targets",Evidence at protein level,Tissue enhanced,Detected in many,NA,parathyroid gland: 246.0;urinary bladder: 181.4,Cell type enhanced,Detected in many,NA,Adipocytes: 76.2;Basal respiratory cells: 135.4;Breast glandular cells: 100.4;Endometrial stromal cells: 103.1;Endothelial cells: 98.4;Fibroblasts: 92.8;Granulosa cells: 85.4,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,skin cancer: 260.2,"Kidney - Endothelial cells, Prostate - Urothelial cells, Testis - Sertoli cells, Thyroid - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA003412, CAB009335",Supported,,Approved,Actin filaments,Secreted to blood,NA,NA,9900000,110000,Cluster 4: T-regs - Cell cycle regulation,Cluster 48: Parathyroid gland - membrane proteins,Cluster 20: Connective tissue cells - ECM organization,Cluster 66: Endothelial cells - Angiogenesis,Actin filaments,,"CAB009335: AB_2237146, HPA003412: AB_1858205"
PLAU,ENSG00000122861,"Plasminogen activator, urokinase",NA,7,3,8,18,0,1,NA,NA,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Blood coagulation, Fibrinolysis, Hemostasis, Plasminogen activation","Hydrolase, Protease, Serine protease",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,kidney: 103.8;urinary bladder: 128.5,Cell type enhanced,Detected in many,NA,Basal respiratory cells: 215.4;Collecting duct cells: 90.6;Exocrine glandular cells: 124.9;Ionocytes: 131.6,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Group enriched,Detected in some,9,myeloid DC: 1.1;neutrophil: 2.1;plasmacytoid DC: 2.0,Group enriched,Detected in many,11,dendritic cells: 2.0;granulocytes: 2.1,Low cancer specificity,Detected in all,NA,,,Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,HPA070796,Supported,,Uncertain,"Golgi apparatus,Vesicles",Secreted to blood,NA,NA,647000,88000,Cluster 8: Neutrophils - Inflammatory response,Cluster 82: Adipose tissue - ECM organization,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 74: Pancreatic cells - Mixed function,"Golgi apparatus, Vesicles",,HPA070796: 
SFRP1,ENSG00000104332,Secreted frizzled related protein 1,NA,9,0,9,18,0,0,Muscle,NA,"Predicted intracellular proteins, Predicted secreted proteins","Differentiation, Wnt signaling pathway",Developmental protein,,Evidence at protein level,Tissue enhanced,Detected in all,NA,breast: 299.3;choroid plexus: 509.2,Cell type enhanced,Detected in many,NA,Breast glandular cells: 756.9;Breast myoepithelial cells: 1192.4;Cardiomyocytes: 308.6;Leydig cells: 606.9;Serous glandular cells: 437.9,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Group enriched,Detected in many,5,breast cancer: 115.5;Neuroblastoma: 67.0;skin cancer: 78.8;testis cancer: 264.7;thyroid cancer: 81.2,"Heart muscle - Cardiomyocytes, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Pancreas - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Eccrine sweat gland cells",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,CAB008116,Approved,,,,Secreted in other tissues,NA,No,NA,1300000,,Cluster 42: Ciliated cells - Cilium & Cell projection,Cluster 20: Connective tissue cells - ECM organization,Cluster 21: Serous glandular cells - Salivary secretion,,,CAB008116: AB_2187070
EDIL3,ENSG00000164176,EGF like repeats and discoidin domains 3,NA,8,0,9,17,1,0,Heart; Muscle,NA,Predicted secreted proteins,Cell adhesion,Developmental protein,,Evidence at protein level,Tissue enriched,Detected in many,6,brain: 256.8,Group enriched,Detected in many,5,Oligodendrocyte precursor cells: 537.7;Oligodendrocytes: 2001.0,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Brain cancer: 123.7;Kidney cancer: 125.1,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Prostate - Fibroblasts",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"HPA020415, HPA022122",Approved,,Uncertain,Plasma membrane,Secreted to blood,NA,NA,NA,NA,,Cluster 70: Brain - Nervous system development,Cluster 20: Connective tissue cells - ECM organization,Cluster 8: Oligodendrocytes - Myelin sheath organization,Plasma membrane,,"HPA020415: AB_2670434, HPA022122: "
FBN1,ENSG00000166147,Fibrillin 1,ENST00000537463,5,0,12,17,0,0,NA,Idiopathic.Pulmonary.Fibrosis,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",,"Heparin-binding, Hormone","Aortic aneurysm, Disease variant, Dwarfism",Evidence at protein level,Tissue enhanced,Detected in all,NA,adipose tissue: 60.9;placenta: 76.7,Cell type enhanced,Detected in many,NA,Cytotrophoblasts: 128.7;Fibroblasts: 429.8;Inhibitory neurons: 120.7;Leydig cells: 240.1;Oligodendrocytes: 206.4;Peritubular cells: 231.7,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Brain cancer: 81.0;thyroid cancer: 77.9,"Adipose subcutaneous - Adipose progenitor cells, Colon - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2",Low region specificity,Detected in many,NA,,Low region specificity,Detected in all,NA,,"CAB002670, HPA017759, HPA021057, CAB058696, CAB068188",Enhanced,,Approved,"Golgi apparatus,Plasma membrane",Secreted to blood,NA,NA,NA,5.20E+08,,Cluster 82: Adipose tissue - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 65: Fibroblasts - ECM organization,Golgi apparatus,Plasma membrane,"CAB002670: , CAB058696: AB_2665596, CAB068188: AB_2665597, HPA017759: AB_1848584, HPA021057: AB_1848586"
FN1,ENSG00000115414,Fibronectin 1,ENST00000354785; ENST00000356005; ENST00000426059; ENST00000432072; ENST00000443816; ENST00000446046,5,0,12,17,1,0,NA,NA,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Acute phase, Angiogenesis, Cell adhesion, Cell shape",Heparin-binding,"Cancer-related genes, Disease variant, Dwarfism, FDA approved drug targets",Evidence at protein level,Tissue enhanced,Detected in many,NA,liver: 1725.9;placenta: 2928.1,Cell type enhanced,Detected in many,NA,Extravillous trophoblasts: 3183.4;Fibroblasts: 713.4;Hepatocytes: 809.9;Pancreatic endocrine cells: 523.8;Smooth muscle cells: 552.4,Cancer enhanced,Detected in all,NA,thyroid cancer: 833.9,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in all,NA,testis cancer: 4649.5;thyroid cancer: 4327.2,"Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Colon - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2",Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,"CAB000126, HPA027066",Enhanced,,,,Secreted to blood,NA,NA,2.27E+14,4.70E+10,,Cluster 86: Liver & Placenta - Transport via ER,Cluster 20: Connective tissue cells - ECM organization,Cluster 15: Smooth muscle cells - Muscle contraction,,,"CAB000126: , HPA027066: AB_10602500"
LTBP1,ENSG00000049323,Latent transforming growth factor beta binding protein 1,ENST00000402934; ENST00000407925; ENST00000422669,8,0,9,17,0,0,NA,Idiopathic.Pulmonary.Fibrosis,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,Growth factor binding,Disease variant,Evidence at protein level,Tissue enhanced,Detected in many,NA,cervix: 161.4,Cell type enhanced,Detected in many,NA,Astrocytes: 105.0;Cardiomyocytes: 89.9;Fibroblasts: 92.5;Leydig cells: 95.6;Mucus glandular cells: 116.8;Peritubular cells: 162.3;Smooth muscle cells: 111.4,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Immune cell enriched,Detected in single,4,basophil: 3.1,Lineage enriched,Detected in single,14,granulocytes: 3.1,Low cancer specificity,Detected in all,NA,,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Pancreas - Fibroblasts, Prostate - Smooth muscle cells",Low region specificity,Detected in many,NA,,Low region specificity,Detected in many,NA,,CAB025428,Approved,,,,Secreted to extracellular matrix,NA,NA,NA,9.60E+07,Cluster 10: Basophils - Unknown function,Cluster 46: Fibroblasts - ECM organization,Cluster 20: Connective tissue cells - ECM organization,Cluster 15: Smooth muscle cells - Muscle contraction,,,CAB025428: 
